MainBranch,Age,Employment,RemoteWork,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,Country,LanguageHaveWorkedWith,AISearchHaveWorkedWith,AIDevHaveWorkedWith,WorkExp,Industry,ConvertedCompYearly
,35-44 years old,,Remote,,12,9,"Developer, full-stack",100 to 499 employees,France,Java;JavaScript;PowerShell;Python;Ruby;TypeScript,ChatGPT,GitHub Copilot,10.0,Retail and Consumer Services,85672.0
,25-34 years old,,Remote,,10,6,"Developer, back-end",20 to 99 employees,Nepal,JavaScript;Python;Rust;Solidity;SQL;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",31833.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,21,3,"Developer, back-end",20 to 99 employees,China,Dart;HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",72714.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,13,11,Engineering manager,"1,000 to 4,999 employees",Poland,C#;Dart;Java;JavaScript;Kotlin;Ruby;SQL;Swift;TypeScript,Bing AI;ChatGPT;Phind,GitHub Copilot,11.0,"Information Services, IT, Software Development, or other Technology",47852.0
,25-34 years old,,Remote,,14,10,"Engineer, data","1,000 to 4,999 employees",Romania,HTML/CSS;Java;JavaScript;R;SQL;VBA,Bing AI;ChatGPT;WolframAlpha,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",3237.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,9,5,"Developer, full-stack","10,000 or more employees",Austria,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;R;SQL;TypeScript;VBA,ChatGPT,GitHub Copilot;Tabnine,9.0,"Manufacturing, Transportation, or Supply Chain",62969.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,3,2,"Developer, full-stack",20 to 99 employees,Croatia,C#;HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,2.0,"Information Services, IT, Software Development, or other Technology",34911.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,40,30,Engineering manager,"10,000 or more employees",Denmark,Bash/Shell (all shells);C#;TypeScript,Bing AI;ChatGPT,GitHub Copilot,30.0,Healthcare,138033.0
,18-24 years old,,Remote,,10,4,"Developer, full-stack","1,000 to 4,999 employees",India,Assembly;Bash/Shell (all shells);C;C++;Dart;HTML/CSS;Java;JavaScript;Kotlin;MATLAB;PHP;PowerShell;Python;R;Ruby;Rust;Scala;SQL;TypeScript;Visual Basic (.Net),Bing AI;ChatGPT,GitHub Copilot;Mintlify,3.0,Financial Services,36351.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,7,6,"Developer, full-stack",20 to 99 employees,India,PHP,ChatGPT,Whispr AI,7.0,Healthcare,10000.0
,18-24 years old,,Remote,,7,6,"Developer, full-stack",100 to 499 employees,Germany,Bash/Shell (all shells);C#;Java;Kotlin;PowerShell;SQL;TypeScript,ChatGPT;WolframAlpha,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",16063.0
,18-24 years old,,In-person,,3,2,"Developer, full-stack",10 to 19 employees,Viet Nam,C++;Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,2.0,"Information Services, IT, Software Development, or other Technology",1021.0
,45-54 years old,,Remote,,30,25,Cloud infrastructure engineer,20 to 99 employees,United States of America,Go;Java;JavaScript;Python;Rust;TypeScript,ChatGPT,GitHub Copilot,30.0,Oil & Gas,150000.0
,35-44 years old,,Remote,,12,8,"Developer, full-stack",500 to 999 employees,Sweden,C#;HTML/CSS;Java;JavaScript;PHP;PowerShell;SQL;TypeScript,ChatGPT,GitHub Copilot,8.0,"Information Services, IT, Software Development, or other Technology",130841.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,5,Academic researcher,500 to 999 employees,Italy,Julia;Python,ChatGPT;WolframAlpha,GitHub Copilot;Tabnine,4.0,Higher Education,21418.0
,35-44 years old,,In-person,,14,14,"Developer, full-stack",500 to 999 employees,Netherlands,Bash/Shell (all shells);Groovy;HTML/CSS;Java;JavaScript;Kotlin;Python;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,14.0,"Information Services, IT, Software Development, or other Technology",74963.0
,45-54 years old,,Remote,,41,25,Engineering manager,"10,000 or more employees",United States of America,Bash/Shell (all shells);C#;PowerShell;TypeScript,Bing AI;ChatGPT,GitHub Copilot,25.0,"Information Services, IT, Software Development, or other Technology",295000.0
,25-34 years old,,Remote,,18,12,"Developer, mobile",500 to 999 employees,India,JavaScript;Objective-C;Swift,Bing AI;ChatGPT,AWS CodeWhisperer;GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",26657.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,6,1,"Developer, embedded applications or devices","10,000 or more employees",India,C;C++;Go;HTML/CSS;Python;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,1.0,"Manufacturing, Transportation, or Supply Chain",12723.0
,25-34 years old,,In-person,,5,2,Blockchain,500 to 999 employees,India,C#;C++,Andi,Replit Ghostwriter,1.0,"Information Services, IT, Software Development, or other Technology",4847.0
,25-34 years old,,In-person,,10,3,"Developer, full-stack",100 to 499 employees,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;PHP;Python;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,5.0,Retail and Consumer Services,64254.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,13,5,"Developer, front-end",20 to 99 employees,Austria,Bash/Shell (all shells);Java;JavaScript;Python;TypeScript,ChatGPT,GitHub Copilot,5.0,Healthcare,61469.0
,25-34 years old,,In-person,,13,2,"Senior Executive (C-Suite, VP, etc.)",20 to 99 employees,Norway,C#;HTML/CSS;JavaScript;TypeScript,ChatGPT,GitHub Copilot,2.0,"Manufacturing, Transportation, or Supply Chain",90613.0
,35-44 years old,,Remote,,20,20,Engineering manager,100 to 499 employees,South Africa,PHP,ChatGPT,GitHub Copilot,20.0,"Manufacturing, Transportation, or Supply Chain",62246.0
,25-34 years old,,In-person,,7,3,"Developer, mobile",20 to 99 employees,Turkey,C#;Dart;Java;Python,ChatGPT;WolframAlpha,AWS CodeWhisperer;GitHub Copilot,3.0,Retail and Consumer Services,14102.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,25,20,Data scientist or machine learning specialist,"Just me - I am a freelancer, sole proprietor, etc.",Switzerland,Go;Groovy;HTML/CSS;Java;JavaScript;PHP;Python;Ruby;SQL;TypeScript,ChatGPT,AWS CodeWhisperer;GitHub Copilot,25.0,"Information Services, IT, Software Development, or other Technology",132260.0
,25-34 years old,,Remote,,7,5,Blockchain,2 to 9 employees,Slovenia,Go;HTML/CSS;JavaScript;Solidity;TypeScript,ChatGPT,GitHub Copilot,5.0,"Information Services, IT, Software Development, or other Technology",5354.0
,25-34 years old,,Remote,,13,10,"Developer, back-end",20 to 99 employees,India,Bash/Shell (all shells);C#;Groovy;Java;PowerShell;TypeScript,ChatGPT,GitHub Copilot,9.0,Financial Services,65431.0
,25-34 years old,,In-person,,15,4,"Developer, full-stack",100 to 499 employees,India,Bash/Shell (all shells);C#;Go;HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot;Tabnine,4.0,"Information Services, IT, Software Development, or other Technology",6543.0
,35-44 years old,,Remote,,23,12,"Developer, full-stack",100 to 499 employees,Italy,Assembly;Bash/Shell (all shells);C;C++;Delphi;HTML/CSS;Java;JavaScript;PHP;PowerShell;Prolog;Python;R;SAS;Scala;SQL,ChatGPT,GitHub Copilot,13.0,Healthcare,44978.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,9,5,"Developer, full-stack",20 to 99 employees,Nepal,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,Bing AI;ChatGPT;Perplexity AI,Tabnine,5.0,Financial Services,18190.0
,35-44 years old,,Remote,,26,9,Engineering manager,100 to 499 employees,United States of America,HTML/CSS;JavaScript;Python;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,27.0,Healthcare,192000.0
,35-44 years old,,Remote,,22,13,Data scientist or machine learning specialist,20 to 99 employees,Spain,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;Scala;SQL,ChatGPT,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",64254.0
,25-34 years old,,Remote,,10,9,"Developer, front-end",20 to 99 employees,Slovenia,JavaScript;PHP;TypeScript,ChatGPT,GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",48190.0
,35-44 years old,,Remote,,22,17,"Developer, back-end",500 to 999 employees,Portugal,C#;HTML/CSS,Bing AI;ChatGPT,GitHub Copilot,18.0,Healthcare,107090.0
,25-34 years old,,In-person,,13,11,"Developer, back-end",20 to 99 employees,Switzerland,C#;HTML/CSS;Kotlin;PHP;TypeScript,ChatGPT;WolframAlpha,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",110216.0
,25-34 years old,,Remote,,7,4,"Developer, full-stack",10 to 19 employees,United States of America,C#;C++;F#;Go;JavaScript;Kotlin;MATLAB;PowerShell;Python;R;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",126000.0
,25-34 years old,,Remote,,25,14,"Developer, back-end",20 to 99 employees,Malta,C#;JavaScript;PowerShell;SQL,Bing AI;ChatGPT;WolframAlpha,GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",101735.0
,35-44 years old,,Remote,,18,12,Developer Advocate,"10,000 or more employees",United States of America,Bash/Shell (all shells);C;C++;Elixir;Erlang;Go;HTML/CSS;Java;JavaScript;PHP;PowerShell;Python;R;Ruby;Rust;SQL;Swift;TypeScript;Visual Basic (.Net),ChatGPT,AWS CodeWhisperer;GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",200000.0
,25-34 years old,,Remote,,7,7,Blockchain,20 to 99 employees,"Iran, Islamic Republic of...",HTML/CSS;JavaScript;TypeScript,ChatGPT,Tabnine,7.0,Financial Services,17008.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,16,13,DevOps specialist,100 to 499 employees,Austria,C#;JavaScript;Swift;TypeScript,ChatGPT;WolframAlpha,GitHub Copilot,14.0,"Information Services, IT, Software Development, or other Technology",99593.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,4,2,System administrator,10 to 19 employees,Bangladesh,Bash/Shell (all shells);C;C#;Go;HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,2.0,Healthcare,5578.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,7,4,"Developer, full-stack",2 to 9 employees,Australia,C;C++;HTML/CSS;JavaScript;Lua;PHP;PowerShell;SQL;Visual Basic (.Net),ChatGPT,Tabnine,5.0,"Information Services, IT, Software Development, or other Technology",40000.0
,35-44 years old,,Remote,,5,3,"Developer, full-stack",2 to 9 employees,Spain,Bash/Shell (all shells);Java;JavaScript;PowerShell;Python;SQL;TypeScript,ChatGPT;Phind,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",74963.0
,45-54 years old,,Remote,,5,3,"Developer, back-end",20 to 99 employees,Canada,Bash/Shell (all shells);HTML/CSS;JavaScript;Python;SQL,ChatGPT,GitHub Copilot,3.0,Financial Services,96657.0
,45-54 years old,,"Hybrid (some remote, some in-person)",,25,22,"Senior Executive (C-Suite, VP, etc.)",100 to 499 employees,Sweden,Bash/Shell (all shells);C;C#;C++;Julia;PowerShell;R;SAS;Scala;SQL,ChatGPT,GitHub Copilot,25.0,Retail and Consumer Services,138212.0
,35-44 years old,,In-person,,26,20,"Developer, embedded applications or devices",100 to 499 employees,Germany,C;Python,Bing AI;ChatGPT,GitHub Copilot,17.0,"Information Services, IT, Software Development, or other Technology",27843.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,3,2,"Developer, full-stack",20 to 99 employees,Uzbekistan,C#;JavaScript;SQL;TypeScript,Bing AI;ChatGPT;Perplexity AI,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",12000.0
,35-44 years old,,In-person,,28,13,"Developer, full-stack",20 to 99 employees,Israel,HTML/CSS;JavaScript;PHP;SQL,ChatGPT,GitHub Copilot,13.0,Retail and Consumer Services,96220.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,9,6,"Developer, front-end",100 to 499 employees,Greece,Bash/Shell (all shells);HTML/CSS;JavaScript;Julia;Ruby;SQL;TypeScript,Phind,GitHub Copilot,6.0,"Information Services, IT, Software Development, or other Technology",58899.0
,25-34 years old,,Remote,,9,5,"Developer, QA or test",100 to 499 employees,Netherlands,JavaScript;TypeScript,ChatGPT,GitHub Copilot;Tabnine,8.0,"Information Services, IT, Software Development, or other Technology",64254.0
,35-44 years old,,In-person,,5,3,"Developer, full-stack",2 to 9 employees,Italy,Dart;Java;JavaScript;Kotlin;Solidity;SQL;Swift,ChatGPT,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",25701.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,6,3,"Developer, full-stack",20 to 99 employees,Germany,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;Python;SQL;TypeScript,ChatGPT,GitHub Copilot,3.0,Healthcare,69608.0
,35-44 years old,,In-person,,13,10,"Developer, full-stack",20 to 99 employees,Denmark,Bash/Shell (all shells);C#;F#;HTML/CSS;Java;JavaScript;PHP;SQL;TypeScript,ChatGPT,GitHub Copilot,13.0,"Information Services, IT, Software Development, or other Technology",89722.0
,25-34 years old,,Remote,,10,7,"Developer, back-end",10 to 19 employees,Bosnia and Herzegovina,Bash/Shell (all shells);C#;F#;Solidity;SQL,Bing AI;ChatGPT;You.com,AWS CodeWhisperer;GitHub Copilot,10.0,"Information Services, IT, Software Development, or other Technology",54748.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,7,"Developer, full-stack",500 to 999 employees,"Iran, Islamic Republic of...",C#;HTML/CSS;JavaScript;Python;TypeScript,ChatGPT,Tabnine,7.0,Insurance,118112.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,8,Academic researcher,"5,000 to 9,999 employees",Netherlands,Bash/Shell (all shells);C;C++;PHP;PowerShell;Python;SQL,ChatGPT;WolframAlpha,GitHub Copilot,10.0,Higher Education,42836.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,9,2,"Developer, full-stack",2 to 9 employees,Netherlands,HTML/CSS;JavaScript;PHP,ChatGPT,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",38530.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,15,11,"Developer, back-end",2 to 9 employees,India,Dart;HTML/CSS;JavaScript;PHP;SQL,ChatGPT,GitHub Copilot,11.0,"Information Services, IT, Software Development, or other Technology",21810.0
,25-34 years old,,Remote,,17,12,"Senior Executive (C-Suite, VP, etc.)",10 to 19 employees,Germany,Assembly;Bash/Shell (all shells);C;C++;Dart;Fortran;Go;HTML/CSS;JavaScript;Lua;Objective-C;PHP;Prolog;Python;Rust;SQL;Swift;TypeScript,ChatGPT,GitHub Copilot,12.0,"Information Services, IT, Software Development, or other Technology",91026.0
,25-34 years old,,Remote,,11,7,"Developer, back-end",20 to 99 employees,Canada,Bash/Shell (all shells);Go;Julia;Python;SQL,ChatGPT,GitHub Copilot;Tabnine,7.0,Healthcare,171008.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,14,10,Security professional,"10,000 or more employees",United States of America,C#;C++;PowerShell;Python,Bing AI;ChatGPT,GitHub Copilot,11.0,"Information Services, IT, Software Development, or other Technology",250000.0
,25-34 years old,,In-person,,17,6,"Developer, back-end",100 to 499 employees,Denmark,Bash/Shell (all shells);C;C#;C++;Go;HTML/CSS;Java;JavaScript;Lua;PHP;TypeScript,ChatGPT,GitHub Copilot,6.0,Financial Services,103525.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,6,5,"Developer, full-stack",100 to 499 employees,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Solidity;SQL;TypeScript,ChatGPT,GitHub Copilot,5.0,Higher Education,57104.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,20,7,"Developer, full-stack",500 to 999 employees,United States of America,Assembly;Bash/Shell (all shells);C;C#;C++;Cobol;Fortran;Go;HTML/CSS;Java;JavaScript;Julia;Kotlin;Lisp;Lua;MATLAB;Objective-C;Perl;PHP;PowerShell;Python;R;Ruby;Rust;Scala;Solidity;SQL;Swift;TypeScript,Bing AI;ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",185000.0
,25-34 years old,,Remote,,10,5,Engineering manager,20 to 99 employees,Poland,Bash/Shell (all shells);Go;HTML/CSS;JavaScript;PHP;PowerShell;Python;SQL;TypeScript,ChatGPT;WolframAlpha,GitHub Copilot;Tabnine,5.0,"Information Services, IT, Software Development, or other Technology",105000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,30,20,"Developer, full-stack",100 to 499 employees,Portugal,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;PowerShell;SQL,Andi;Bing AI;ChatGPT;Perplexity AI,GitHub Copilot;Synk Code,20.0,Financial Services,61041.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,7,3,"Developer, full-stack",100 to 499 employees,Germany,Bash/Shell (all shells);HTML/CSS;Java;JavaScript;PowerShell;SQL;TypeScript,Bing AI;ChatGPT;WolframAlpha,GitHub Copilot,3.0,"Information Services, IT, Software Development, or other Technology",47548.0
,45-54 years old,,Remote,,22,17,"Developer, back-end",100 to 499 employees,Germany,Bash/Shell (all shells);HTML/CSS;JavaScript;Ruby;SQL,ChatGPT,GitHub Copilot,18.0,"Information Services, IT, Software Development, or other Technology",144571.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,12,7,"Developer, full-stack","1,000 to 4,999 employees",Switzerland,HTML/CSS;JavaScript;SQL;TypeScript,ChatGPT,GitHub Copilot,12.0,Financial Services,165324.0
,25-34 years old,,In-person,,3,2,Data scientist or machine learning specialist,20 to 99 employees,Kenya,Python;R,Bing AI;ChatGPT,AWS CodeWhisperer;Whispr AI,3.0,"Information Services, IT, Software Development, or other Technology",3026.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,3,1,Data scientist or machine learning specialist,20 to 99 employees,Poland,Bash/Shell (all shells);Python;SQL,ChatGPT,GitHub Copilot,14.0,"Information Services, IT, Software Development, or other Technology",78956.0
,55-64 years old,,Remote,,38,30,"Developer, full-stack","10,000 or more employees",Germany,JavaScript;SQL;TypeScript,You.com,GitHub Copilot,30.0,"Information Services, IT, Software Development, or other Technology",85672.0
,25-34 years old,,In-person,,12,5,"Developer, full-stack",2 to 9 employees,Italy,C;JavaScript;PHP;SQL;TypeScript,ChatGPT;WolframAlpha,Tabnine,5.0,"Information Services, IT, Software Development, or other Technology",21418.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,13,7,"Developer, back-end",10 to 19 employees,Netherlands,C#;HTML/CSS;JavaScript;PowerShell;SQL;TypeScript,ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",80317.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,7,4,"Engineer, data",100 to 499 employees,Germany,Python;SQL,ChatGPT,GitHub Copilot,3.0,Advertising Services,51403.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,10,3,"Developer, full-stack","1,000 to 4,999 employees",Germany,C#;Dart;Go;Groovy;HTML/CSS;Java;JavaScript;Kotlin;Lua;PowerShell;TypeScript,Bing AI;ChatGPT,GitHub Copilot,5.0,Retail and Consumer Services,75177.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,2,4,"Developer, front-end",20 to 99 employees,Nepal,C;C++;HTML/CSS;JavaScript;PowerShell;Python;TypeScript,Bing AI;Google Bard AI,AWS CodeWhisperer;Mintlify,3.0,"Information Services, IT, Software Development, or other Technology",455.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,10,2,"Developer, full-stack","10,000 or more employees",United Kingdom of Great Britain and Northern Ireland,C++;Go;JavaScript;Python;Rust;TypeScript,ChatGPT,GitHub Copilot,2.0,Financial Services,70759.0
,35-44 years old,,In-person,,12,7,Academic researcher,2 to 9 employees,Netherlands,Bash/Shell (all shells);HTML/CSS;Python,ChatGPT;WolframAlpha,GitHub Copilot;Tabnine,12.0,Healthcare,91026.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,8,6,"Developer, full-stack",100 to 499 employees,Czech Republic,Bash/Shell (all shells);C#;HTML/CSS;JavaScript;Python;Rust;SQL;TypeScript,ChatGPT,GitHub Copilot,8.0,"Information Services, IT, Software Development, or other Technology",49679.0
,18-24 years old,,Remote,,9,3,"Developer, back-end",100 to 499 employees,Romania,HTML/CSS;JavaScript;Ruby,ChatGPT,GitHub Copilot,3.0,Retail and Consumer Services,75000.0
,35-44 years old,,"Hybrid (some remote, some in-person)",,6,4,DevOps specialist,100 to 499 employees,Poland,Bash/Shell (all shells);C;Go;Python,ChatGPT,AWS CodeWhisperer;GitHub Copilot,15.0,"Information Services, IT, Software Development, or other Technology",71779.0
,25-34 years old,,Remote,,17,5,"Developer, full-stack",10 to 19 employees,Sri Lanka,Bash/Shell (all shells);HTML/CSS;JavaScript;Lua;Python;Rust;TypeScript,Bing AI;ChatGPT,AWS CodeWhisperer;Tabnine,5.0,"Information Services, IT, Software Development, or other Technology",15488.0
,25-34 years old,,Remote,,7,2,"Developer, full-stack",20 to 99 employees,United States of America,HTML/CSS;JavaScript;Python;Rust;SQL,Bing AI;ChatGPT,GitHub Copilot,2.0,Financial Services,117000.0
,25-34 years old,,Remote,,10,7,"Developer, full-stack",20 to 99 employees,Brazil,HTML/CSS;JavaScript;PHP;SQL;TypeScript,Bing AI;ChatGPT,GitHub Copilot,8.0,Wholesale,14201.0
,25-34 years old,,"Hybrid (some remote, some in-person)",,4,2,"Developer, full-stack",100 to 499 employees,United States of America,Go;HTML/CSS;JavaScript;Python;Ruby;SQL;Swift;TypeScript,ChatGPT;WolframAlpha,GitHub Copilot,2.0,Financial Services,105000.0
,35-44 years old,,Remote,,20,20,DevOps specialist,100 to 499 employees,United States of America,Bash/Shell (all shells);Go;Perl;Python;Ruby,ChatGPT;Google Bard AI,GitHub Copilot,20.0,"Information Services, IT, Software Development, or other Technology",225000.0
,25-34 years old,,Remote,,11,6,"Developer, full-stack",20 to 99 employees,United Kingdom of Great Britain and Northern Ireland,Dart;JavaScript;Ruby,Bing AI;ChatGPT,GitHub Copilot,14.0,Healthcare,99311.0
,18-24 years old,,"Hybrid (some remote, some in-person)",,7,4,"Developer, full-stack","10,000 or more employees",Brazil,HTML/CSS;JavaScript;Python;TypeScript,ChatGPT,GitHub Copilot,4.0,Financial Services,24345.0
,25-34 years old,,Remote,,20,11,"Developer, full-stack",20 to 99 employees,Finland,HTML/CSS;JavaScript;PHP;SQL;TypeScript,ChatGPT;Google Bard AI,GitHub Copilot,11.0,Financial Services,74963.0
,35-44 years old,,Remote,,22,18,"Developer, back-end",500 to 999 employees,Canada,Bash/Shell (all shells);Groovy;Java;Python;SQL,Bing AI;ChatGPT;WolframAlpha,Synk Code,18.0,"Information Services, IT, Software Development, or other Technology",102605.0
,25-34 years old,,In-person,,17,11,"Developer, desktop or enterprise applications",20 to 99 employees,Germany,C;C#;C++;Delphi;JavaScript;PHP;Python;SQL,ChatGPT,GitHub Copilot,11.0,"Information Services, IT, Software Development, or other Technology",77104.0
,25-34 years old,,Remote,,9,7,"Developer, full-stack",10 to 19 employees,United Kingdom of Great Britain and Northern Ireland,Bash/Shell (all shells);HTML/CSS;JavaScript;SQL;Swift;TypeScript,ChatGPT,GitHub Copilot,7.0,"Information Services, IT, Software Development, or other Technology",68276.0
,18-24 years old,,Remote,,7,2,Data scientist or machine learning specialist,20 to 99 employees,Malaysia,Bash/Shell (all shells);JavaScript;Python;Scala;SQL,Bing AI,GitHub Copilot,2.0,"Information Services, IT, Software Development, or other Technology",1070.0
,25-34 years old,,Remote,,9,8,"Developer, full-stack","10,000 or more employees",Australia,JavaScript;SQL;TypeScript,ChatGPT;Phind,GitHub Copilot;Rubber Duck.AI,10.0,Oil & Gas,134521.0
